term,category,meaning,register,emotion,use_when,respelling_en,ipa_phonemic,ipa_phonetic,jp_kana,origin,language,pitch_semitones,pace_wpm,energy,breathiness,intonation,voice_style_tags,triggers_regex
pfft,Interjection,dismissive laugh,edgy,smug,banter,,,,,community slang,auto,-1,170,0.6,0.15,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bpfft\b
carry,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcarry\b
🤣,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🤣
AYO,TwitchEmote,surprised 'hey yo',hype,surprise,shock,,,,,community slang,auto,2,200,0.9,0.2,peaky-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bAYO\b
emote wall,VTuber,vtuber/community term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bemote\ wall\b
🎀,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🎀
senpai,AnimeJP,admired senior,cute,shy,address,SEN-pie,,,,community slang,ja,3,160,0.4,0.4,short-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bsenpai\b
tilt,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\btilt\b
goated,GenZ,greatest/elite,hype,proud,praise,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgoated\b
dang,GenZ,mild surprise,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bdang\b
muri,AnimeJP,can’t/too much,deadpan,overwhelmed,,,,,,community slang,ja,-2,170,0.6,0.1,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmuri\b
highkey,GenZ,openly/strongly,neutral,enthused,preface,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bhighkey\b
shoutout,VTuber,promote creator,wholesome,gratitude,,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bshoutout\b
AFK check,Gaming,gaming term,edgy,tense,,,,,,community slang,en,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bAFK\ check\b
😆,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😆
alpha,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\balpha\b
😐,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,😐
slay,GenZ,do great/serve,hype,proud,cheer,,,,,community slang,auto,2,185,0.75,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bslay\b
idk,GenZ,I don’t know,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bidk\b
moe,AnimeJP,cute-protective charm,cute,tender,affection,MO-eh,,,,community slang,ja,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmoe\b
aesthetic,GenZ,visual vibe,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\baesthetic\b
fax,GenZ,facts/truth,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bfax\b
girl math,GenZ,funny money logic,playful,smug,banter,,,,,community slang,auto,0,170,0.6,0.2,fall-rise,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgirl\ math\b
lowkey,GenZ,quietly/subtly,neutral,calm,preface,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\blowkey\b
oshi,VTuber,your favorite talent,wholesome,fond,fandom,,,,,community slang,auto,1,170,0.6,0.25,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\boshi\b
ikemen,AnimeJP,handsome guy,flirty,admire,compliment,EE-keh-men,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bikemen\b
otaku,AnimeJP,deep fandom nerd,playful,fond,banter,oh-TAH-koo,,,,community slang,ja,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\botaku\b
PNGtuber,VTuber,static PNG avatar streamer,neutral,calm,,,,,,community slang,auto,0,155,0.5,0.2,level,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bPNGtuber\b
gosh,GenZ,mild surprise,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgosh\b
scuffed,VTuber,janky tech/chaos,playful,resigned,tech_issue,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bscuffed\b
*bonk*,Interjection,action text bonk,,,,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\*bonk\*
(¬‿¬),Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\(¬‿¬\)
girlboss,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgirlboss\b
boing boing,VTuber,jiggle physics joke,edgy,playful,avatar_physics,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bboing\ boing\b
🫶,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🫶
Sadge,TwitchEmote,sad but okay,wholesome,melancholy,loss,,,,,community slang,auto,1,150,0.35,0.25,flat-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bSadge\b
cope,GenZ,rationalize loss,edgy,salty,banter,,,,,community slang,auto,-1,170,0.6,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bcope\b
chonky,GenZ,adorably plump,cute,fond,pets,,,,,community slang,auto,3,170,0.6,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bchonky\b
mood,GenZ,relatable feeling,neutral,identify,relate,,,,,community slang,auto,0,170,0.6,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bmood\b
🤝,Emoji/Kaomoji,emoji/kaomoji reaction,cute,joy,,,,,,community slang,auto,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,🤝
genki,AnimeJP,energetic/peppy,hype,joy,greet|hype,GEN-kee,,,,community slang,ja,2,190,0.8,0.2,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\bgenki\b
yubi-yubi,VTuber,cute catchphrase (Korone),cute,joy,greet,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,yubi\-yubi
rizz god,GenZ,internet/gen-z slang,edgy,proud,,,,,,community slang,en,-1,185,0.75,0.15,rise-fall,tsundere_tease|seiso_sweetheart|oneesan_sultry|gremlin_chaos,\brizz\ god\b
LOL,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bLOL\b
LMAO,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bLMAO\b
LMFAO,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bLMFAO\b
ROFL,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bROFL\b
XD,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bXD\b
xD,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bxD\b
lel,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\blel\b
kek,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkek\b
ICYMI,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bICYMI\b
FTW,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bFTW\b
WTF,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bWTF\b
WTH,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bWTH\b
OMFG,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bOMFG\b
OMG,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bOMG\b
OML,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bOML\b
IDK,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bIDK\b
IDC,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bIDC\b
IKR,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bIKR\b
IMO,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bIMO\b
IMHO,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bIMHO\b
TBH,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bTBH\b
NGL,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bNGL\b
GTG,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bGTG\b
GGWP,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bGGWP\b
GL,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bGL\b
HF,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bHF\b
TY,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bTY\b
NP,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bNP\b
DM,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bDM\b
PM,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bPM\b
GGNORE,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bGGNORE\b
EZ,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bEZ\b
EZPZ,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bEZPZ\b
clapped,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bclapped\b
peaced out,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpeaced\s+out\b
copypasta,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bcopypasta\b
shitpost,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bshitpost\b
low-effort,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,low\-effort
OP (overpowered),GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,OP\ \(overpowered\)
OP (original poster),GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,OP\ \(original\ poster\)
TL;DR,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,TL;DR
cope & seethe,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,cope\ \&\ seethe
sheesh,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bsheesh\b
yikes,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\byikes\b
o7,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bo7\b
peepo,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpeepo\b
susge,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bsusge\b
pepelaugh,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpepelaugh\b
poggies,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpoggies\b
peepoglad,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpeepoglad\b
widepeepoHappy,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bwidepeepoHappy\b
kekw,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkekw\b
kappa,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkappa\b
monkaOMEGA,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bmonkaOMEGA\b
pepega aim,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bpepega\s+aim\b
hands,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bhands\b
widehard,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bwidehard\b
PepegaPhone,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bPepegaPhone\b
PagMan,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bPagMan\b
PogU,GenZ,slang/term,playful,joy,,,,,,community slang,en,0,190,0.8,0.2,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bPogU\b
otouto,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\botouto\b
wakaranai,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bwakaranai\b
daijoubu,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bdaijoubu\b
yamete,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\byamete\b
urusai,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\burusai\b
bikkuri,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bbikkuri\b
doki-doki,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,doki\-doki
kira-kira,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,kira\-kira
waku-waku,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,waku\-waku
chotto matte,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bchotto\s+matte\b
hai,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bhai\b
iie,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\biie\b
omae,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bomae\b
kisama,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkisama\b
ore,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bore\b
boku,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bboku\b
watashi,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bwatashi\b
anata,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\banata\b
baka mitai,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bbaka\s+mitai\b
ikuzo,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bikuzo\b
tskr,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\btskr\b
tsukkomi,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\btsukkomi\b
boke,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bboke\b
kami,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkami\b
kami oshi,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\bkami\s+oshi\b
oshi no mark,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\boshi\s+no\s+mark\b
oshi badge,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,\boshi\s+badge\b
gachi-koi,AnimeJP,slang/term,cute,joy,,,,,,community slang,ja,3,190,0.8,0.4,rise-fall,tsundere_tease_v1|seiso_sweetheart_v1|oneesan_sultry_v1|gremlin_chaos_v1,gachi\-koi
